,Precision@K,Recall@K,NDCG@K,MRR
Content-Based,0.3693069306930693,0.05578805004775149,0.3669527344253122,0.5689533239038189
User-CF (Cosine),0.395049504950495,0.05990285826927831,0.3992072366924654,0.5991867043847242
User-CF (Pearson),0.3861386138613861,0.05810305855108966,0.38503343453549616,0.5862839855414113
Item-CF (Cosine),0.3851485148514852,0.05827627564408791,0.38267215599883925,0.6046597516894547
Item-CF (Pearson),0.3722772277227724,0.05607571565171907,0.37669484322694924,0.5917884645607417
Funk SVD (MF),0.3871287128712872,0.05842417344870282,0.3893014774489046,0.6091819896275342
Neural CF (NCF),0.39603960396039606,0.05976124105297318,0.3905555136045382,0.5978194247996228
