,MSE,RMSE,MAE,NMAE
Content-Based,3.803460334949368,1.9502462241853893,1.6100056057745167,0.3220011211549033
User-CF (Cosine),2.6990265343333966,1.6428714296418319,1.408697827314715,0.281739565462943
User-CF (Pearson),2.7587617979692167,1.6609520757593268,1.4194742614799183,0.28389485229598366
Item-CF (Cosine),2.650911112666639,1.628161881591213,1.4015835833968109,0.2803167166793622
Item-CF (Pearson),2.691008654008851,1.6404294114678788,1.4087740007487246,0.2817548001497449
Funk SVD (MF),2.723068990777847,1.6501724124399386,1.4146333903706012,0.28292667807412025
Neural CF (NCF),2.528803004329107,1.590221055177269,1.3768253652956022,0.27536507305912045
