,Precision@K,Recall@K,NDCG@K,MRR
Content-Based,0.3693069306930693,0.05578805004775149,0.3669527344253122,0.5689533239038189
User-CF (Cosine),0.395049504950495,0.05990285826927831,0.3992072366924654,0.5991867043847242
User-CF (Pearson),0.3861386138613861,0.05810305855108966,0.38503343453549616,0.5862839855414113
Item-CF (Cosine),0.3851485148514852,0.05827627564408791,0.38267215599883925,0.6046597516894547
Item-CF (Pearson),0.3722772277227724,0.05607571565171907,0.37669484322694924,0.5917884645607417
Funk SVD (MF),0.38514851485148516,0.05784599478312642,0.38424412805816655,0.5915134370579915
Neural CF (NCF),0.3623762376237623,0.05456205586963828,0.3612847983334176,0.5738802451673739
